Vorname;Nachname;Klasse;Benutzername;Passwort
Angelika;Albers;8B;;
Britta;Bäcker;1D;baecker1;password1
Charlotte;Correns;1C;;
Dennis;Decker;8A;;
Eric;Ellinger;4A;;
Franziska;Fürst;6A;;
Günther;Gosse;1A;;
Henrik;Höcker;7B;;
Inge;Ivanovic;2B;;
Jörn-Philipp;Jarre;5B;;
Katharina;Krieger;4B;;
Lore;Lambert;7A;;
Martin;Möhring;6A;;
Nils;Nüßlein;2C;;
Olga;Oppermann;1B;oppermann1;password2
Peter;Perreault;3B;;
Quentin;Quinlan;8C;;
Rene;Ritter;5A;;
Sabine;Spengler;2A;;
Torsten;Tewes;6B;;
Ullrich;Übleis;4C;;
Volker;Von Kármán;2D;;
Waldemar;Willenberg;3C;;
Xavier;Xiong;3A;;
Yvonne;Yago;7B;;
Zelma;Zachmann;5A;;
